BookingTime,Competitors' Rates ($),Room Price ($),Local Events/Attractions,Length of Stay (nights),Room Availability,Room Type
18-04-2024 08:00,"130, 135, 125, 145",144,Concert,3,2,Pro
02-04-2024 08:00,"110, 115, 105, 120",107,None,3,14,Pro
22-04-2024 12:00,"110, 115, 105, 120",80,None,2,15,Standard
23-04-2024 09:00,"130, 135, 125, 145",156,Marathon,2,4,Pro
26-04-2024 12:00,"115, 120, 110, 130",162,None,4,14,Pro
05-04-2024 10:00,"120, 125, 115, 130",155,None,3,14,Standard
26-04-2024 10:00,"110, 115, 105, 120",104,None,1,14,Standard
22-04-2024 08:00,"110, 115, 105, 120",101,None,3,15,Standard
04-04-2024 11:00,"120, 125, 115, 130",82,None,3,13,Standard
18-04-2024 10:00,"120, 125, 115, 130",104,None,4,17,Standard
28-04-2024 12:00,"130, 135, 125, 145",137,Food festival,3,3,Pro
13-04-2024 09:00,"125, 130, 120, 140",177,Concert,3,2,Pro
22-04-2024 10:00,"125, 130, 120, 140",85,None,4,12,Pro
17-04-2024 08:00,"115, 120, 110, 130",130,None,1,10,Standard
21-04-2024 11:30,"125, 130, 120, 140",176,Food festival,3,5,Pro
26-04-2024 10:00,"120, 125, 115, 130",133,Marathon,3,9,Pro
27-04-2024 09:00,"125, 130, 120, 140",154,Concert,3,15,Pro
01-04-2024 12:00,"130, 135, 125, 145",142,None,3,6,Pro
20-04-2024 12:00,"115, 120, 110, 130",101,None,3,15,Standard
19-04-2024 09:00,"115, 120, 110, 130",82,None,2,13,Standard
01-04-2024 09:00,"125, 130, 120, 140",113,None,4,17,Standard
14-04-2024 08:00,"110, 115, 105, 120",96,None,3,16,Standard
06-04-2024 12:00,"115, 120, 110, 130",149,None,3,6,Standard
25-04-2024 11:00,"110, 115, 105, 120",99,None,1,14,Standard
16-04-2024 12:00,"130, 135, 125, 145",170,None,3,14,Pro
08-04-2024 12:00,"130, 135, 125, 145",130,Marathon,2,3,Pro
11-04-2024 12:00,"125, 130, 120, 140",109,Concert,4,2,Pro
04-04-2024 11:00,"110, 115, 105, 120",121,None,3,18,Standard
29-04-2024 10:00,"130, 135, 120, 125",80,None,1,11,Standard
09-04-2024 09:00,"125, 130, 120, 140",143,Marathon,3,2,Pro
26-04-2024 08:00,"130, 135, 125, 145",140,None,3,4,Standard
24-04-2024 08:00,"130, 135, 125, 145",173,Marathon,4,2,Pro
26-04-2024 12:00,"130, 135, 125, 145",157,Marathon,3,4,Pro
15-04-2024 11:30,"120, 125, 115, 130",80,None,3,15,Standard
02-04-2024 12:45,"115, 120, 110, 130",86,None,3,9,Standard
28-04-2024 10:00,"115, 120, 110, 130",115,None,3,18,Standard
14-04-2024 10:00,"125, 130, 120, 140",149,Conference,4,5,Pro
13-04-2024 09:00,"125, 130, 120, 140",156,None,3,4,Pro
