booking_time,lead_time,adr,total_people,room_type,local_events,room_price,competitor_a_price,competitor_b_price,competitor_c_price,length_of_stay,occupancy_rate,room_availability
2024-08-24 10:00:00,20,164,3,Suite,None,301,263,253,227,5,0.85,127
2024-08-06 08:10:00,19,160,4,Suite,None,278,238,261,247,3,0.73,460
2024-07-27 15:35:00,22,156,3,Family,None,262,205,208,175,4,0.72,120
2024-10-12 16:55:00,20,130,3,Suite,None,266,276,185,215,3,0.78,153
2024-08-15 10:00:00,22,190,1,Suite,None,253,182,231,315,5,0.72,161
2024-09-30 11:40:00,20,148,3,Suite,None,290,255,214,190,3,0.76,160
2024-11-29 12:30:00,21,130,3,Family,None,244,222,200,181,3,0.87,144
2024-11-01 12:30:00,17,209,2,Deluxe,None,330,320,273,315,5,0.81,153
2024-06-15 09:50:00,22,173,3,Suite,None,296,206,214,265,6,0.86,141
2024-06-24 07:05:00,26,165,3,Suite,None,282,248,325,175,5,0.74,130
2024-09-18 10:00:00,26,175,3,Family,None,273,211,218,217,3,0.85,460
2024-08-07 08:10:00,24,130,4,Deluxe,None,224,318,196,175,3,0.79,135
2024-05-12 14:30:00,25,130,3,Family,Vacations,254,214,185,315,6,0.84,162
2024-08-11 08:10:00,24,187,3,Family,None,236,228,318,175,5,0.86,160
2024-11-09 16:55:00,26,184,2,Deluxe,None,313,320,300,305,4,0.83,160
2024-11-26 12:30:00,21,194,4,Suite,None,274,241,227,279,5,0.83,153
2024-08-10 08:10:00,19,130,4,Deluxe,None,218,234,214,219,3,0.73,168
2024-11-30 12:30:00,22,130,4,Family,None,219,205,233,210,3,0.75,158
2024-05-06 14:45:00,22,195,4,Deluxe,None,327,264,241,238,5,0.72,131
2024-11-26 12:30:00,22,209,4,Family,None,302,190,250,239,7,0.9,166
2024-10-08 16:55:00,22,143,3,Suite,None,330,225,244,216,5,0.74,155
2024-07-14 15:35:00,20,144,5,Deluxe,None,256,215,193,235,3,0.85,151
2024-09-12 11:40:00,20,154,3,Suite,None,265,232,325,303,3,0.76,130
2024-07-17 15:35:00,25,217,3,Suite,None,250,320,277,176,3,0.82,172
2024-10-25 12:30:00,21,134,3,Family,Vacations,257,185,191,179,3,0.73,138
2024-10-18 16:55:00,22,211,2,Family,None,330,292,316,315,5,0.84,140
2024-10-16 16:55:00,20,220,3,Suite,Concert,330,224,325,289,5,0.72,424
2024-10-14 13:40:00,19,171,4,Deluxe,None,241,244,208,210,5,0.84,167
2024-07-26 15:35:00,24,190,2,Family,None,330,320,270,304,5,0.83,150
2024-05-28 14:45:00,23,139,3,Deluxe,None,287,238,212,288,3,0.72,143
2024-06-23 07:05:00,23,130,3,Family,None,190,194,194,175,3,0.72,148
2024-05-06 14:45:00,24,220,3,Suite,None,330,217,248,315,5,0.84,159
2024-07-27 15:35:00,25,220,2,Deluxe,None,330,310,325,315,5,0.82,174
2024-11-01 12:30:00,22,137,3,Family,None,280,212,185,197,3,0.74,133
2024-07-19 15:35:00,27,155,4,Deluxe,None,275,303,190,315,5,0.84,177
2024-06-30 09:20:00,20,148,3,Suite,None,261,320,238,210,3,0.91,120
2024-06-30 09:20:00,23,201,5,Deluxe,None,330,320,271,307,6,0.82,149
2024-06-12 09:20:00,19,130,3,Suite,None,224,221,185,195,3,0.78,446
2024-09-06 11:40:00,19,133,4,Deluxe,None,289,229,185,188,3,0.72,140
2024-08-21 10:00:00,21,130,4,Family,Concert,194,217,194,175,6,0.82,345
2024-06-07 09:20:00,25,140,3,Suite,None,190,196,190,211,3,0.88,142
2024-08-20 10:00:00,22,136,4,Suite,None,258,240,208,175,3,0.77,140
2024-06-24 07:05:00,19,130,5,Deluxe,None,198,268,187,175,4,0.72,173
2024-09-12 11:40:00,22,220,4,Suite,None,304,306,324,270,5,0.77,460
2024-06-22 07:05:00,21,130,3,Family,Concert,283,188,185,175,6,0.9,120
2024-09-06 11:40:00,22,204,2,Deluxe,Festival,330,320,302,250,5,0.72,155
2024-08-11 08:10:00,19,134,4,Family,None,237,263,185,192,6,0.79,155
2024-06-10 07:05:00,21,206,1,Deluxe,None,329,302,323,315,5,0.82,169
2024-09-14 11:40:00,23,179,3,Family,None,328,220,187,185,5,0.81,142
2024-06-12 09:20:00,23,220,2,Family,Concert,330,306,325,300,5,0.84,160
2024-05-24 15:35:00,24,165,3,Deluxe,Vacations,302,312,185,239,3,0.73,155
2024-06-02 15:35:00,22,181,4,Deluxe,Concert,237,292,185,210,6,0.74,138
2024-06-07 09:20:00,24,216,3,Suite,Festival,330,320,214,291,3,0.84,130
2024-06-12 09:20:00,24,220,2,Suite,None,330,309,290,282,5,0.79,156
2024-07-18 10:45:00,17,163,3,Suite,None,272,237,185,243,5,0.72,167
2024-05-06 14:45:00,26,220,2,Deluxe,Concert,330,292,325,309,5,0.84,162
2024-08-23 10:00:00,19,141,4,Deluxe,None,211,254,190,200,4,0.8,162
2024-06-13 09:20:00,25,130,3,Family,None,240,195,264,175,3,0.81,149
2024-11-01 12:30:00,20,189,2,Deluxe,None,330,320,307,315,5,0.85,146
2024-06-10 07:05:00,19,164,4,Family,None,305,216,208,281,3,0.83,146
2024-06-15 09:50:00,20,203,4,Family,None,321,207,185,175,3,0.83,128
2024-09-29 07:05:00,20,207,2,Deluxe,None,330,316,310,311,5,0.84,136
2024-05-27 14:45:00,21,145,3,Deluxe,None,247,276,208,245,6,0.78,152
2024-08-11 08:10:00,20,212,4,Deluxe,Festival,275,246,318,315,5,0.75,169
2024-11-09 16:55:00,24,130,3,Family,None,223,190,185,175,3,0.72,134
2024-08-15 10:00:00,24,199,2,Suite,None,330,227,306,183,3,0.89,144
2024-11-01 12:30:00,24,130,3,Deluxe,None,270,203,185,200,3,0.76,143
2024-11-03 12:30:00,25,213,1,Deluxe,None,330,320,321,315,5,0.84,180
2024-06-06 09:20:00,20,137,3,Family,None,229,202,185,175,3,0.84,318
2024-05-09 14:15:00,25,206,2,Deluxe,None,330,303,325,315,5,0.86,145
2024-10-16 16:55:00,17,142,3,Suite,None,283,292,185,213,3,0.72,173
2024-08-07 08:10:00,28,195,3,Family,None,330,289,324,290,5,0.84,160
2024-06-21 07:05:00,24,204,1,Deluxe,None,330,320,320,292,3,0.82,134
2024-10-08 16:55:00,21,177,3,Family,None,220,234,213,175,4,0.72,141
2024-09-04 11:40:00,20,157,3,Suite,None,270,222,284,216,4,0.87,184
2024-06-02 15:35:00,26,217,2,Deluxe,None,330,307,325,315,6,0.85,162
2024-11-05 09:10:00,28,213,2,Suite,Vacations,330,320,311,315,5,0.87,154
2024-06-21 07:05:00,26,211,4,Deluxe,Concert,330,268,300,315,5,0.81,156
2024-05-29 14:45:00,22,130,3,Suite,None,191,180,185,175,3,0.74,141
2024-06-10 07:05:00,20,220,1,Deluxe,None,330,296,320,315,6,0.87,164
2024-06-16 09:20:00,26,216,3,Deluxe,Concert,330,320,219,315,5,0.81,157
2024-05-06 14:45:00,25,220,2,Deluxe,None,330,314,325,305,5,0.84,162
2024-10-12 16:55:00,21,151,3,Deluxe,None,244,249,200,292,5,0.74,460
2024-08-27 17:55:00,24,130,3,Family,None,231,215,254,175,3,0.83,362
2024-06-17 07:05:00,25,192,2,Suite,None,330,274,318,276,5,0.82,165
2024-09-12 11:40:00,22,176,3,Deluxe,None,244,239,204,247,7,0.78,135
2024-06-12 09:20:00,23,220,2,Suite,None,330,317,325,258,5,0.83,153
2024-09-02 11:40:00,19,136,4,Family,None,204,223,195,184,5,0.75,131
2024-06-22 07:05:00,21,220,5,Suite,None,330,320,325,315,5,0.84,156
2024-09-02 11:40:00,22,130,5,Family,None,190,220,185,175,4,0.72,158
2024-05-06 14:45:00,25,212,3,Suite,None,283,224,243,198,3,0.87,150
2024-05-24 15:35:00,25,153,3,Family,None,265,207,185,175,3,0.75,408
2024-09-06 11:40:00,24,130,2,Family,None,274,220,185,242,6,0.72,157
2024-10-16 16:55:00,23,220,2,Deluxe,None,330,320,325,288,5,0.82,158
2024-06-10 07:05:00,27,187,3,Family,None,313,257,205,309,6,0.76,460
2024-10-06 16:55:00,24,199,3,Deluxe,None,330,248,315,309,3,0.84,131
2024-11-03 12:30:00,21,208,2,Deluxe,None,330,320,322,315,5,0.82,180
2024-09-03 11:40:00,20,130,3,Suite,None,278,320,252,175,3,0.72,170
2024-08-09 08:10:00,20,130,4,Family,None,196,183,187,175,4,0.75,460
2024-09-12 11:40:00,22,209,4,Deluxe,None,307,245,228,202,6,0.86,165
2024-08-15 10:00:00,19,216,3,Suite,None,330,199,310,224,5,0.75,146
2024-06-19 07:05:00,22,197,2,Deluxe,None,330,195,251,175,3,0.82,460
2024-05-01 14:45:00,22,205,2,Family,None,309,319,290,300,5,0.83,120
2024-06-24 07:05:00,27,193,3,Deluxe,None,330,295,311,299,5,0.85,154
2024-09-02 11:40:00,21,130,3,Deluxe,Concert,273,298,186,273,5,0.81,168
2024-08-15 10:00:00,24,205,2,Deluxe,None,330,320,284,259,5,0.82,158
2024-11-28 12:30:00,22,130,4,Family,None,257,196,221,227,3,0.72,137
2024-09-06 11:40:00,27,130,4,Deluxe,None,329,215,265,284,5,0.82,154
2024-07-22 15:35:00,23,208,2,Deluxe,None,330,291,287,259,5,0.81,159
2024-05-02 14:45:00,26,169,4,Family,None,243,261,232,178,6,0.87,460
2024-11-01 12:30:00,19,220,4,Deluxe,None,330,320,325,315,5,0.83,161
2024-11-15 12:30:00,19,220,2,Deluxe,None,330,320,320,315,5,0.81,166
2024-05-27 14:45:00,21,151,3,Deluxe,None,232,291,195,175,5,0.83,139
2024-11-05 09:10:00,25,214,1,Deluxe,Festival,330,282,304,308,4,0.83,177
2024-07-24 15:35:00,26,141,3,Deluxe,None,330,219,301,300,4,0.74,161
2024-11-03 12:30:00,27,155,4,Family,None,268,224,219,218,7,0.75,160
2024-06-17 07:05:00,23,136,4,Suite,None,287,256,285,276,3,0.85,133
2024-05-05 14:45:00,20,175,5,Suite,None,224,187,225,189,3,0.83,136
2024-06-06 09:20:00,22,194,4,Deluxe,Concert,254,253,320,214,6,0.83,141
2024-09-14 11:40:00,20,130,3,Deluxe,None,190,180,185,175,5,0.79,138
2024-11-15 12:30:00,21,143,3,Family,None,271,229,185,175,5,0.74,120
2024-08-08 08:10:00,26,198,3,Suite,None,330,316,261,278,5,0.85,156
2024-08-22 11:40:00,22,180,3,Suite,Concert,234,229,226,218,6,0.72,152
2024-06-24 07:05:00,23,130,4,Suite,None,281,238,185,175,3,0.72,359
2024-05-29 14:45:00,24,185,2,Suite,None,330,320,290,315,5,0.83,178
2024-11-03 12:30:00,22,205,2,Deluxe,None,330,230,231,281,5,0.86,156
2024-10-25 12:30:00,20,194,2,Deluxe,Concert,330,320,317,315,5,0.8,188
2024-06-17 07:05:00,25,220,2,Suite,None,330,320,322,315,3,0.84,149
2024-10-15 16:55:00,23,210,3,Suite,None,311,271,234,243,5,0.72,132
2024-08-23 10:00:00,22,167,4,Family,None,258,207,222,175,3,0.8,128
2024-11-15 12:30:00,22,130,3,Deluxe,None,222,228,222,210,3,0.76,416
2024-11-05 09:10:00,22,214,1,Deluxe,None,330,311,257,315,5,0.83,145
2024-05-24 15:35:00,19,130,3,Family,Concert,240,213,194,175,4,0.74,120
2024-10-14 13:40:00,22,137,4,Suite,None,271,244,199,255,3,0.8,154
2024-11-09 16:55:00,21,184,4,Family,Festival,247,203,199,216,4,0.87,161
2024-06-15 09:50:00,24,157,4,Suite,None,246,218,185,175,6,0.77,123
2024-07-29 07:05:00,24,178,2,Deluxe,None,330,293,308,308,3,0.72,158
2024-05-06 14:45:00,20,181,2,Suite,None,330,310,325,307,6,0.84,172
2024-09-03 11:40:00,24,206,3,Family,None,314,272,185,315,3,0.72,133
2024-10-25 12:30:00,24,130,5,Family,None,255,251,190,195,3,0.77,120
2024-06-28 07:05:00,25,199,2,Suite,Concert,321,320,278,315,5,0.84,178
2024-11-01 12:30:00,24,207,2,Deluxe,None,318,304,188,248,4,0.72,145
2024-05-03 14:45:00,26,199,2,Deluxe,None,330,317,282,289,5,0.83,149
2024-08-09 08:10:00,26,174,3,Family,None,228,189,200,175,5,0.86,133
2024-08-03 08:10:00,23,130,3,Family,None,281,180,200,175,5,0.72,139
2024-10-17 16:55:00,18,200,2,Deluxe,None,324,320,304,315,3,0.82,166
2024-10-16 16:55:00,21,215,3,Suite,None,281,238,310,280,3,0.84,148
2024-10-16 16:55:00,19,169,4,Suite,Festival,237,207,194,189,3,0.79,139
2024-05-06 14:45:00,26,214,2,Family,None,330,320,325,295,3,0.83,126
2024-08-10 08:10:00,22,217,2,Deluxe,None,330,279,325,315,5,0.83,156
2024-11-05 09:10:00,23,220,2,Deluxe,None,330,320,306,315,5,0.85,135
2024-08-23 10:00:00,22,220,2,Deluxe,Concert,330,314,319,313,6,0.8,144
2024-10-14 13:40:00,25,130,4,Deluxe,None,267,304,256,262,5,0.82,133
2024-06-06 09:20:00,20,154,4,Deluxe,None,255,210,185,175,4,0.92,168
2024-08-10 08:10:00,22,130,3,Family,None,256,251,185,192,3,0.74,122
2024-06-06 09:20:00,27,159,2,Suite,None,262,255,196,231,3,0.92,148
2024-06-13 09:20:00,20,172,4,Suite,None,330,205,248,276,3,0.75,138
2024-10-17 16:55:00,23,133,4,Family,None,265,244,213,175,3,0.76,132
2024-07-14 15:35:00,18,130,3,Family,None,281,245,185,202,3,0.72,120
2024-06-23 09:20:00,21,130,5,Family,None,197,180,185,175,5,0.72,148
2024-08-25 10:00:00,21,179,2,Deluxe,None,330,302,288,315,5,0.85,127
2024-05-27 14:45:00,20,220,2,Deluxe,None,330,313,315,315,5,0.85,135
2024-10-17 16:55:00,23,130,4,Family,None,233,180,185,175,3,0.8,120
2024-06-17 07:05:00,20,207,4,Suite,Concert,329,320,204,228,3,0.72,161
2024-08-10 08:10:00,19,185,1,Family,Vacations,302,273,290,313,5,0.72,144
2024-06-26 09:20:00,21,133,4,Family,Concert,211,180,196,175,3,0.81,142
2024-08-23 10:00:00,22,162,3,Suite,None,248,180,206,175,3,0.76,150
2024-08-10 16:05:00,24,130,3,Suite,None,299,288,227,175,3,0.72,161
2024-05-02 14:45:00,21,133,3,Family,None,252,268,185,191,6,0.75,138
2024-08-26 10:00:00,26,213,3,Family,None,249,320,325,299,5,0.83,154
2024-08-10 16:05:00,20,189,3,Deluxe,None,295,234,195,277,5,0.73,150
