Booking Time,Competitors Rates ($),Room Price ($),Local Events/Attractions,Length of Stay (nights),Room Availability,Room Type
18-04-2024 08:00,"130, 135, 125, 145",144,Concert,3,2,Pro
02-04-2024 08:00,"110, 115, 105, 120",107,0,3,14,Pro
22-04-2024 12:00,"110, 115, 105, 120",80,0,2,15,Standard
23-04-2024 09:00,"130, 135, 125, 145",156,Marathon,2,4,Pro
26-04-2024 12:00,"115, 120, 110, 130",162,0,4,14,Pro
05-04-2024 10:00,"120, 125, 115, 130",155,0,3,14,Standard
26-04-2024 10:00,"110, 115, 105, 120",104,0,1,14,Standard
22-04-2024 08:00,"110, 115, 105, 120",101,0,3,15,Standard
04-04-2024 11:00,"120, 125, 115, 130",82,0,3,13,Standard
18-04-2024 10:00,"120, 125, 115, 130",104,0,4,17,Standard
28-04-2024 12:00,"130, 135, 125, 145",137,Food festival,3,3,Pro
13-04-2024 09:00,"125, 130, 120, 140",177,Concert,3,2,Pro
22-04-2024 10:00,"125, 130, 120, 140",85,0,4,12,Pro
17-04-2024 08:00,"115, 120, 110, 130",130,0,1,10,Standard
21-04-2024 11:30,"125, 130, 120, 140",176,Food festival,3,5,Pro
26-04-2024 10:00,"120, 125, 115, 130",133,Marathon,3,9,Pro
27-04-2024 09:00,"125, 130, 120, 140",154,Concert,3,15,Pro
01-04-2024 12:00,"130, 135, 125, 145",142,0,3,6,Pro
20-04-2024 12:00,"115, 120, 110, 130",101,0,3,15,Standard
19-04-2024 09:00,"115, 120, 110, 130",82,0,2,13,Standard
01-04-2024 09:00,"125, 130, 120, 140",113,0,4,17,Standard
14-04-2024 08:00,"110, 115, 105, 120",96,0,3,16,Standard
06-04-2024 12:00,"115, 120, 110, 130",149,0,3,6,Standard
25-04-2024 11:00,"110, 115, 105, 120",99,0,1,14,Standard
16-04-2024 12:00,"130, 135, 125, 145",170,0,3,14,Pro
08-04-2024 12:00,"130, 135, 125, 145",130,Marathon,2,3,Pro
11-04-2024 12:00,"125, 130, 120, 140",109,Concert,4,2,Pro
04-04-2024 11:00,"110, 115, 105, 120",121,0,3,18,Standard
29-04-2024 10:00,"130, 135, 120, 125",80,0,1,11,Standard
09-04-2024 09:00,"125, 130, 120, 140",143,Marathon,3,2,Pro
26-04-2024 08:00,"130, 135, 125, 145",140,0,3,4,Standard
24-04-2024 08:00,"130, 135, 125, 145",173,Marathon,4,2,Pro
26-04-2024 12:00,"130, 135, 125, 145",157,Marathon,3,4,Pro
15-04-2024 11:30,"120, 125, 115, 130",80,0,3,15,Standard
02-04-2024 12:45,"115, 120, 110, 130",86,0,3,9,Standard
28-04-2024 10:00,"115, 120, 110, 130",115,0,3,18,Standard
14-04-2024 10:00,"125, 130, 120, 140",149,Conference,4,5,Pro
13-04-2024 09:00,"125, 130, 120, 140",156,0,3,4,Pro
21-04-2024 13:00,"110, 115, 105, 120",102,0,3,17,Standard
03-04-2024 14:00,"125, 130, 120, 140",123,Marathon,3,7,Pro
04-04-2024 09:30,"125, 130, 120, 140",82,0,4,13,Standard
02-04-2024 08:00,"110, 115, 105, 120",142,0,3,18,Pro
06-04-2024 08:00,"110, 115, 105, 120",154,0,4,16,Pro
19-04-2024 09:00,"110, 115, 105, 120",102,0,1,12,Standard
16-04-2024 12:00,"115, 120, 110, 130",80,0,1,17,Standard
14-04-2024 10:00,"110, 115, 105, 120",80,0,1,2,Standard
17-04-2024 10:00,"125, 130, 120, 140",151,0,2,2,Standard
14-04-2024 08:00,"130, 135, 125, 145",118,0,2,11,Standard
24-04-2024 10:00,"130, 135, 125, 145",145,0,2,4,Pro
16-04-2024 08:00,"120, 125, 115, 130",143,0,3,20,Standard
27-04-2024 13:00,"130, 135, 125, 145",112,0,3,12,Pro
13-04-2024 09:00,"125, 130, 120, 140",171,Concert,2,6,Pro
27-04-2024 09:00,"115, 120, 110, 130",80,0,2,17,Standard
29-04-2024 12:00,"125, 130, 120, 140",138,Food festival,4,5,Pro
11-04-2024 10:00,"125, 130, 120, 140",126,Conference,3,13,Pro
27-04-2024 09:00,"115, 120, 110, 130",97,0,3,15,Standard
30-04-2024 12:00,"130, 135, 125, 145",152,0,2,3,Pro
02-04-2024 08:00,"125, 130, 120, 140",114,Marathon,3,12,Pro
26-04-2024 08:00,"125, 130, 120, 140",138,0,2,5,Pro
18-04-2024 08:00,"120, 125, 115, 130",80,0,1,15,Standard
03-04-2024 09:00,"125, 130, 120, 140",162,Marathon,3,2,Pro
02-04-2024 08:00,"130, 135, 125, 145",152,Marathon,3,5,Pro
20-04-2024 10:00,"125, 130, 120, 140",112,Food festival,3,2,Standard
04-04-2024 08:00,"115, 120, 110, 130",117,0,1,6,Standard
04-04-2024 11:00,"110, 115, 105, 120",87,0,2,14,Standard
04-04-2024 11:00,"130, 135, 125, 145",174,0,3,5,Pro
07-04-2024 09:00,"110, 115, 105, 120",106,0,1,15,Standard
02-04-2024 08:00,"125, 130, 120, 140",128,Conference,4,5,Pro
10-04-2024 08:00,"115, 120, 110, 130",84,0,1,15,Standard
24-04-2024 12:00,"115, 120, 110, 130",107,0,1,19,Standard
22-04-2024 08:00,"130, 135, 125, 145",133,0,2,3,Standard
05-04-2024 08:00,"120, 125, 115, 130",91,0,3,9,Standard
18-04-2024 10:00,"125, 130, 120, 140",118,Marathon,1,15,Pro
26-04-2024 08:00,"110, 115, 105, 120",97,0,1,19,Standard
27-04-2024 11:30,"125, 130, 120, 140",91,Concert,2,14,Standard
