RoomPrice($),LocalEvents/Attractions,LengthofStay(nights),RoomAvailability,RoomType,Competitor1_Price,Competitor2_Price,Competitor3_Price,Competitor4_Price,,Booking Time
144,Concert,3,2,Pro,130,135,125,145,,18-04-2024 08:00
107,0,3,14,Pro,110,115,105,120,,02-04-2024 08:00
80,0,2,15,Standard,110,115,105,120,,22-04-2024 12:00
156,Marathon,2,4,Pro,130,135,125,145,,23-04-2024 09:00
162,0,4,14,Pro,115,120,110,130,,26-04-2024 12:00
155,0,3,14,Standard,120,125,115,130,,05-04-2024 10:00
104,0,1,14,Standard,110,115,105,120,,26-04-2024 10:00
101,0,3,15,Standard,110,115,105,120,,22-04-2024 08:00
82,0,3,13,Standard,120,125,115,130,,04-04-2024 11:00
104,0,4,17,Standard,120,125,115,130,,18-04-2024 10:00
137,Food festival,3,3,Pro,130,135,125,145,,28-04-2024 12:00
177,Concert,3,2,Pro,125,130,120,140,,13-04-2024 09:00
85,0,4,12,Pro,125,130,120,140,,22-04-2024 10:00
130,0,1,10,Standard,115,120,110,130,,17-04-2024 08:00
176,Food festival,3,5,Pro,125,130,120,140,,21-04-2024 11:30
133,Marathon,3,9,Pro,120,125,115,130,,26-04-2024 10:00
154,Concert,3,15,Pro,125,130,120,140,,27-04-2024 09:00
142,0,3,6,Pro,130,135,125,145,,01-04-2024 12:00
101,0,3,15,Standard,115,120,110,130,,20-04-2024 12:00
82,0,2,13,Standard,115,120,110,130,,19-04-2024 09:00
113,0,4,17,Standard,125,130,120,140,,01-04-2024 09:00
96,0,3,16,Standard,110,115,105,120,,14-04-2024 08:00
149,0,3,6,Standard,115,120,110,130,,06-04-2024 12:00
99,0,1,14,Standard,110,115,105,120,,25-04-2024 11:00
170,0,3,14,Pro,130,135,125,145,,16-04-2024 12:00
130,Marathon,2,3,Pro,130,135,125,145,,08-04-2024 12:00
109,Concert,4,2,Pro,125,130,120,140,,11-04-2024 12:00
121,0,3,18,Standard,110,115,105,120,,04-04-2024 11:00
80,0,1,11,Standard,130,135,120,125,,29-04-2024 10:00
143,Marathon,3,2,Pro,125,130,120,140,,09-04-2024 09:00
140,0,3,4,Standard,130,135,125,145,,26-04-2024 08:00
173,Marathon,4,2,Pro,130,135,125,145,,24-04-2024 08:00
157,Marathon,3,4,Pro,130,135,125,145,,26-04-2024 12:00
80,0,3,15,Standard,120,125,115,130,,15-04-2024 11:30
86,0,3,9,Standard,115,120,110,130,,02-04-2024 12:45
115,0,3,18,Standard,115,120,110,130,,28-04-2024 10:00
149,Conference,4,5,Pro,125,130,120,140,,14-04-2024 10:00
156,0,3,4,Pro,125,130,120,140,,13-04-2024 09:00
102,0,3,17,Standard,110,115,105,120,,21-04-2024 13:00
123,Marathon,3,7,Pro,125,130,120,140,,03-04-2024 14:00
82,0,4,13,Standard,125,130,120,140,,04-04-2024 09:30
142,0,3,18,Pro,110,115,105,120,,02-04-2024 08:00
154,0,4,16,Pro,110,115,105,120,,06-04-2024 08:00
102,0,1,12,Standard,110,115,105,120,,19-04-2024 09:00
80,0,1,17,Standard,115,120,110,130,,16-04-2024 12:00
80,0,1,2,Standard,110,115,105,120,,14-04-2024 10:00
151,0,2,2,Standard,125,130,120,140,,17-04-2024 10:00
118,0,2,11,Standard,130,135,125,145,,14-04-2024 08:00
145,0,2,4,Pro,130,135,125,145,,24-04-2024 10:00
143,0,3,20,Standard,120,125,115,130,,16-04-2024 08:00
112,0,3,12,Pro,130,135,125,145,,27-04-2024 13:00
171,Concert,2,6,Pro,125,130,120,140,,13-04-2024 09:00
80,0,2,17,Standard,115,120,110,130,,27-04-2024 09:00
138,Food festival,4,5,Pro,125,130,120,140,,29-04-2024 12:00
126,Conference,3,13,Pro,125,130,120,140,,11-04-2024 10:00
97,0,3,15,Standard,115,120,110,130,,27-04-2024 09:00
152,0,2,3,Pro,130,135,125,145,,30-04-2024 12:00
114,Marathon,3,12,Pro,125,130,120,140,,02-04-2024 08:00
138,0,2,5,Pro,125,130,120,140,,26-04-2024 08:00
80,0,1,15,Standard,120,125,115,130,,18-04-2024 08:00
162,Marathon,3,2,Pro,125,130,120,140,,03-04-2024 09:00
152,Marathon,3,5,Pro,130,135,125,145,,02-04-2024 08:00
112,Food festival,3,2,Standard,125,130,120,140,,20-04-2024 10:00
117,0,1,6,Standard,115,120,110,130,,04-04-2024 08:00
87,0,2,14,Standard,110,115,105,120,,04-04-2024 11:00
174,0,3,5,Pro,130,135,125,145,,04-04-2024 11:00
106,0,1,15,Standard,110,115,105,120,,07-04-2024 09:00
128,Conference,4,5,Pro,125,130,120,140,,02-04-2024 08:00
84,0,1,15,Standard,115,120,110,130,,10-04-2024 08:00
107,0,1,19,Standard,115,120,110,130,,24-04-2024 12:00
133,0,2,3,Standard,130,135,125,145,,22-04-2024 08:00
91,0,3,9,Standard,120,125,115,130,,05-04-2024 08:00
118,Marathon,1,15,Pro,125,130,120,140,,18-04-2024 10:00
97,0,1,19,Standard,110,115,105,120,,26-04-2024 08:00
91,Concert,2,14,Standard,125,130,120,140,,27-04-2024 11:30
132,Concert,2,4,Pro,130,135,125,145,,08-04-2024 12:00
148,0,3,9,Pro,130,135,125,145,,01-04-2024 12:00
119,0,3,15,Standard,120,125,115,130,,14-04-2024 10:00
117,0,4,15,Standard,115,120,110,130,,09-04-2024 09:00
155,0,2,2,Pro,130,135,125,145,,14-04-2024 10:00
147,0,1,2,Pro,125,130,120,140,,19-04-2024 09:00
130,0,3,14,Standard,125,130,120,140,,21-04-2024 09:00
87,0,3,13,Standard,110,115,105,120,,22-04-2024 08:00
107,0,4,16,Standard,115,120,110,130,,20-04-2024 10:00
149,Marathon,3,5,Pro,130,135,125,145,,29-04-2024 12:00
144,0,2,18,Pro,110,115,105,120,,05-04-2024 10:00
80,0,1,12,Standard,115,120,110,130,,07-04-2024 11:00
86,0,2,14,Standard,115,120,110,130,,14-04-2024 10:00
104,0,3,11,Standard,130,135,125,145,,27-04-2024 13:00
122,Business convention,3,17,Standard,110,115,105,120,,02-04-2024 08:00
119,0,3,15,Standard,120,125,115,130,,27-04-2024 11:30
105,0,4,17,Standard,115,120,110,130,,16-04-2024 10:00
142,Food festival,1,9,Standard,125,130,120,140,,28-04-2024 08:00
96,0,3,17,Standard,120,125,115,130,,11-04-2024 10:00
80,0,3,15,Standard,115,120,110,130,,10-04-2024 10:00
93,0,1,15,Standard,115,120,110,130,,11-04-2024 12:00
180,0,2,2,Pro,130,135,125,145,,05-04-2024 08:00
158,Food festival,3,7,Pro,130,135,125,145,,18-04-2024 08:00
98,0,2,12,Standard,125,130,120,140,,10-04-2024 12:00
119,0,3,12,Pro,120,125,115,130,,24-04-2024 12:00
158,Conference,4,2,Pro,125,130,120,140,,16-04-2024 08:00
147,0,2,15,Standard,120,125,115,130,,09-04-2024 11:30
147,0,3,2,Pro,130,135,125,145,,29-04-2024 10:00
136,0,3,10,Pro,120,125,115,130,,12-04-2024 10:00
120,0,3,15,Standard,120,125,115,130,,22-04-2024 08:00
105,0,4,15,Standard,115,120,110,130,,03-04-2024 09:00
107,Conference,3,15,Pro,120,125,115,135,,30-04-2024 08:00
107,Conference,1,15,Standard,110,115,105,120,,23-04-2024 11:00
95,0,1,16,Standard,120,125,115,130,,26-04-2024 08:00
139,Food festival,3,4,Pro,125,130,120,140,,20-04-2024 10:00
81,0,3,17,Standard,130,135,125,145,,28-04-2024 08:00
92,0,3,16,Standard,120,125,115,130,,27-04-2024 11:30
89,0,3,13,Standard,115,120,110,130,,01-04-2024 15:00
124,0,4,16,Pro,120,125,115,130,,05-04-2024 12:00
158,0,2,15,Pro,110,115,105,120,,11-04-2024 12:00
111,0,3,16,Standard,115,120,110,130,,19-04-2024 11:00
120,Marathon,1,4,Pro,130,135,125,145,,15-04-2024 11:30
150,Concert,4,2,Pro,130,135,125,145,,07-04-2024 09:00
